Name;Price;URL;idproduto;idgradex;idgradey;descrição;idmarca;iddepartamento;classificacao;idcodigonbm;Ean
Armario de Cozinha Aereo Itatiaia Premium 3 Portas Branco IP3-120;399,90;https://www.magazineluiza.com.br/armario-de-cozinha-aereo-itatiaia-premium-3-portas-branco-ip3-120/p/dbcb6cfd1d/mo/moac/;323;13;0;ARM ITAT PREMIUM IP3-120-13-0;115;1040501020;4050102;94032010;7892946136300
Armario de Cozinha Aereo Itatiaia Premium 3 Portas Branco IP3-120;399,90;https://www.magazineluiza.com.br/armario-de-cozinha-aereo-itatiaia-premium-3-portas-branco-ip3-120/p/eeg16gjk65/mo/moac/;323;13;0;ARM ITAT PREMIUM IP3-120-13-0;115;1040501020;4050102;94032010;7892946136300
Ferro de Passar Roupa a Seco Black&Decker VFA-1110 Preto;132,05;https://www.magazineluiza.com.br/ferro-de-passar-roupa-a-seco-black-decker-vfa-1110-preto/p/021910200/ep/elfs/;1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro De Passar Roupa A Seco Black+Decker 110v Preto;140,53;https://www.magazineluiza.com.br/ferro-de-passar-roupa-a-seco-black-decker-110v-preto-black-decker/p/cae9chbjaj/ep/elfs/;1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro de Passar Elétrico a Seco Preto e Cromado 1000W - Black & Decker;192,18;https://www.magazineluiza.com.br/ferro-de-passar-eletrico-a-seco-preto-e-cromado-1000w-black-decker/p/jkd6ae4j0b/ep/elfs/;1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro de Passar Roupa Black Decker a Seco 1000w 110v Antigo VFA1110TM2;188,72;https://www.magazineluiza.com.br/ferro-de-passar-roupa-black-decker-a-seco-1000w-110v-antigo-vfa1110tm2-black-deker/p/de1j1c064f/ep/elfs/;1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro de Passar Black & Decker Automático Seco 127V Preto VFA1110TM2;175,00;https://www.magazineluiza.com.br/ferro-de-passar-black-decker-automatico-seco-127v-preto-vfa1110tm2-black-decker/p/dkb30k9g13/ep/elfs/;1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro de Passar a Seco Retrô Black + Decker Classic 1100W VFA1110 - Atenção Voltagem Somente 127v;175,75;https://www.magazineluiza.com.br/ferro-de-passar-a-seco-retro-black-decker-classic-1100w-vfa1110-atencao-voltagem-somente-127v-black-decker/p/fj1dhcg6b9/ep/elfs/;1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro De Passar Roupas Seco Black Decker Vfa 127v;152,98;https://www.magazineluiza.com.br/ferro-de-passar-roupas-seco-black-decker-vfa-127v/p/ag6j80k744/ep/elfs/;1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
Ferro de Passar a Seco VFA Black & Decker Preto;153,92;https://www.magazineluiza.com.br/ferro-de-passar-a-seco-vfa-black-decker-preto/p/6159317/ep/elfs/;1940;90;1;FERRO BLACK DECKER AUTOMAT VFA1110-90-1;22;1010302010;1030201;85164000;7896525011095
